id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt0087800,"A Nightmare on Elm Street","16 November 1984 ","1h 31min",/name/nm0000127?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm0000127?ref_=tt_ov_wr,7.5,"$1,800,000","$1,271,000",A,0.0000
tt0100802,"Total Recall","10 December 1990 ","1h 53min",/name/nm0000682?ref_=tt_ov_dr,/company/co0094459?ref_=cons_tt_dt_co_1,/name/nm0001140?ref_=tt_ov_wr,7.5,"$65,000,000","$25,533,700",A,0.0000
tt0102685,"Point Break","12 July 1991 ","2h 2min",/name/nm0000941?ref_=tt_ov_dr,/company/co0080130?ref_=cons_tt_dt_co_1,/name/nm0004488?ref_=tt_ov_wr,7.2,"$24,000,000","$43,218,38","Rated R for violence, language and brief nudity",0.0000
tt0109127,"Angels & Demons","15 July 1994 ","1h 42min",/name/nm0213100?ref_=tt_ov_dr,/company/co0072626?ref_=cons_tt_dt_co_1,/name/nm0455510?ref_=tt_ov_wr,6.1,"$24,000,000","$50,236,83","Rated PG for mild language",0.0000
tt0115906,"The Devil Inside","13 December 1996 ","1h 46min",/name/nm0668247?ref_=tt_ov_dr,/company/co0195567?ref_=cons_tt_dt_co_1,/name/nm0668247?ref_=tt_ov_wr,7.0,"$3,000,000","$26,709","Rated R for substance abuse, strong language and a sex scene",0.0000
tt0119051,"The Wild","26 September 1997 ","1h 57min",/name/nm0848414?ref_=tt_ov_dr,/company/co0079747?ref_=cons_tt_dt_co_1,/name/nm0000519?ref_=tt_ov_wr,6.9,"$7,733,445,","$27,779,888","Rated R for language and some adventure gore/violence",0.0000
tt0121164,"Corpse Bride","23 September 2005 ","1h 17min",/name/nm0000318?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0000318?ref_=tt_ov_wr,7.4,"$40,000,000","$385,078","Rated PG for some scary images and action, and brief mild language",0.0000
tt0121766,"Star Wars: Episode III - Revenge of the Sith","20 May 2005 ","2h 20min",/name/nm0000184?ref_=tt_ov_dr,/company/co0071326?ref_=cons_tt_dt_co_1,/name/nm0000184?ref_=tt_ov_wr,7.6,"$113,000,000","$108,435,841","Rated PG-13 for sci-fi violence and some intense images",0.0000
tt0259324,"Ghost Rider","15 February 2007 ","1h 54min",/name/nm0425756?ref_=tt_ov_dr,/company/co0050868?ref_=cons_tt_dt_co_1,/name/nm0425756?ref_=tt_ov_wr,5.2,"$110,000,000","$52,022,908","Rated PG-13 for horror violence and disturbing images",0.0000
tt0267891,"The Ringer","23 December 2005 ","1h 34min",/name/nm0087904?ref_=tt_ov_dr,/company/co0030016?ref_=cons_tt_dt_co_1,/name/nm0088546?ref_=tt_ov_wr,5.8,"$7,702,439,","$35,424,335","Rated PG-13 for crude and sexual humor, language and some drug references",0.0000
tt0289879,"The Butterfly Effect","23 April 2004 ","1h 53min",/name/nm0107774?ref_=tt_ov_dr,/company/co0044439?ref_=cons_tt_dt_co_1,/name/nm0344259?ref_=tt_ov_wr,7.7,"$13,000,000","$17,065,227","Rated R for violence, sexual content, language and brief drug use",0.0000
tt0290002,"Meet the Fockers","22 December 2004 ","1h 55min",/name/nm0005366?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm0322839?ref_=tt_ov_wr,6.3,"$80,000,000","$46,120,980","Rated PG-13 for crude and sexual humor, language and a brief drug reference",0.0000
tt0293508,"The Phantom of the Opera","10 December 2004 ","2h 23min",/name/nm0001708?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm0503693?ref_=tt_ov_wr,7.3,"$70,000,000","$4,001,890","Rated PG-13 for brief violent images",0.0000
tt0293564,"Rush Hour 3","10 August 2007 ","1h 31min",/name/nm0711840?ref_=tt_ov_dr,/company/co0046718?ref_=cons_tt_dt_co_1,/name/nm0622288?ref_=tt_ov_wr,6.2,"$140,000,000","$49,100,158","Rated PG-13 for sequences of action violence, sexual content, nudity and language",0.0000
tt0294870,Rent,"23 November 2005 ","2h 15min",/name/nm0001060?ref_=tt_ov_dr,/company/co0144132?ref_=cons_tt_dt_co_1,/name/nm0154716?ref_=tt_ov_wr,7.0,"$40,000,000","$10,016,021","Rated PG-13 for mature thematic material involving drugs and sexuality, and for some strong language",0.0000
