movieid,actorid,rank
tt2527336,/name/nm5397459?ref_=tt_ov_st_sm,1
tt2527336,/name/nm3915784?ref_=tt_ov_st_sm,2
tt2527336,/name/nm0000434?ref_=tt_ov_st_sm,3
tt2771200,/name/nm0914612?ref_=tt_ov_st_sm,1
tt2771200,/name/nm1405398?ref_=tt_ov_st_sm,2
tt2771200,/name/nm1812656?ref_=tt_ov_st_sm,3
tt0451279,/name/nm2933757?ref_=tt_ov_st_sm,1
tt0451279,/name/nm1517976?ref_=tt_ov_st_sm,2
tt0451279,/name/nm0000705?ref_=tt_ov_st_sm,3
tt3896198,/name/nm0695435?ref_=tt_ov_st_sm,1
tt3896198,/name/nm0757855?ref_=tt_ov_st_sm,2
tt3896198,/name/nm1176985?ref_=tt_ov_st_sm,3
tt2283362,/name/nm0425005?ref_=tt_ov_st_sm,1
tt2283362,/name/nm2394794?ref_=tt_ov_st_sm,2
tt2283362,/name/nm0366389?ref_=tt_ov_st_sm,3
tt2250912,/name/nm4043618?ref_=tt_ov_st_sm,1
tt2250912,/name/nm0000474?ref_=tt_ov_st_sm,2
tt2250912,/name/nm0000375?ref_=tt_ov_st_sm,3
tt1396484,/name/nm0803889?ref_=tt_ov_st_sm,1
tt1396484,/name/nm5897057?ref_=tt_ov_st_sm,2
tt1396484,/name/nm6016511?ref_=tt_ov_st_sm,3
tt3501632,/name/nm1165110?ref_=tt_ov_st_sm,1
tt3501632,/name/nm1089991?ref_=tt_ov_st_sm,2
tt3501632,/name/nm0000949?ref_=tt_ov_st_sm,3
tt3469046,/name/nm0136797?ref_=tt_ov_st_sm,1
tt3469046,/name/nm1325419?ref_=tt_ov_st_sm,2
tt3469046,/name/nm0005295?ref_=tt_ov_st_sm,3
tt0974015,/name/nm0000255?ref_=tt_ov_st_sm,1
tt0974015,/name/nm2933757?ref_=tt_ov_st_sm,2
tt0974015,/name/nm0597388?ref_=tt_ov_st_sm,3
tt3315342,/name/nm0413168?ref_=tt_ov_st_sm,1
tt3315342,/name/nm0001772?ref_=tt_ov_st_sm,2
